mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
179.86,6974340,211.061088,211.061197,0.109,0.516,C10 H11 O5,10,11,0,5,0,12,1.2,0.5,22,0,0,0.516,1.4779E+11,4.71908E-05,447.7206444,0.333333333,5,-0.2,0.174475818,211,1.577533798,209,0.062611528,211,0.128296212,211,0.109996995,211
-1000,11069342,211.097478,211.097583,0.104,0.494,C11 H15 O4,11,15,0,4,0,16,1.454545455,0.363636364,24,0,0,0.494,1.4779E+11,7.4899E-05,447.7206444,0.222222222,4,-0.727272727,0.138130447,211,1.541430308,209,0.026246872,211,0.164693779,211,0.146391408,211
422.54,5205932,211.116263,211.11621,-0.054,-0.253,C12 H19 O S,12,19,0,1,1,20,1.666666667,0.083333333,26,2,1,0.253,1.4779E+11,3.52251E-05,447.7206444,0.142857143,3,-1.333333333,0.119524246,211,1.522947932,209,0.007630799,211,0.183326701,211,0.165022715,211
-1000,5894073,211.133872,211.133968,0.096,0.456,C12 H19 O3,12,19,0,3,0,20,1.666666667,0.25,26,0,0,0.456,1.4779E+11,3.98813E-05,447.7206444,0.142857143,3,-1.166666667,0.101786075,211,1.50532781,209,0.010116784,211,0.201090347,211,0.182784821,211
620.99,2245457,212.0563,212.056446,0.146,0.69,C9 H10 N O5,9,10,1,5,0,11,1.222222222,0.555555556,21,0,1,0.69,1.4779E+11,1.51935E-05,447.7206444,0.272727273,5,0.222222222,0.180338122,212,1.590012155,210,0.067946341,212,0.123861615,212,0.105476109,212
-1000,3046678,213.040327,213.040462,0.134,0.63,C9 H9 O6,9,9,0,6,0,10,1.111111111,0.666666667,20,-1,0,0.63,1.4779E+11,2.06149E-05,447.7206444,0.333333333,5,0.222222222,0.197420883,213,1.613636296,211,0.084507565,213,0.108190447,213,0.089719626,213
496.6,2051360,213.055552,213.055718,0.166,0.779,C13 H9 O3,13,9,0,3,0,10,0.769230769,0.230769231,28,6,0,0.779,1.4779E+11,1.38802E-05,447.7206444,0.652173913,9,-0.307692308,0.182181918,213,1.598498747,211,0.069260515,213,0.123451297,213,0.104979153,213
-1000,20983088,213.076737,213.076847,0.11,0.517,C10 H13 O5,10,13,0,5,0,14,1.4,0.5,22,-1,0,0.517,1.4779E+11,0.000141979,447.7206444,0.2,4,-0.4,0.161076511,213,1.577533798,211,0.048143909,213,0.144587014,213,0.126113039,213
-1000,2204987,213.092001,213.092103,0.102,0.481,C14 H13 O2,14,13,0,2,0,14,1,0.142857143,30,6,0,0.481,1.4779E+11,1.49197E-05,447.7206444,0.538461538,8,-0.714285714,0.145837546,213,1.562396249,211,0.032896858,213,0.159847864,213,0.141372566,213
-1000,5498186,213.113128,213.113233,0.105,0.49,C11 H17 O4,11,17,0,4,0,18,1.636363636,0.363636364,24,-1,0,0.49,1.4779E+11,3.72026E-05,447.7206444,0.111111111,3,-0.909090909,0.12473114,213,1.541430308,211,0.011779253,213,0.180984582,213,0.162507451,213
-1000,3293540,213.149518,213.149618,0.1,0.471,C12 H21 O3,12,21,0,3,0,22,1.833333333,0.25,26,-1,0,0.471,1.4779E+11,2.22852E-05,447.7206444,0.047619048,2,-1.333333333,0.088386768,213,1.50532781,211,0.024584404,213,0.217381149,213,0.198900864,213
