mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
433.3,2807346,201.092225,201.092103,-0.121,-0.604,C13 H13 O2,13,13,0,2,0,14,1.076923077,0.153846154,28,5,0,0.604,64085543474,4.38062E-05,373.6465182,0.5,7,-0.769230769,0.132438239,201,1.469225312,200,0.025857656,201,0.156032902,201,0.138598015,201
-1000,10008130,201.113366,201.113233,-0.134,-0.665,C10 H17 O4,10,17,0,4,0,18,1.8,0.4,22,-2,0,0.665,64085543474,0.000156168,373.6465182,0,2,-1,0.111331833,201,1.44825937,200,0.004740051,201,0.177169619,201,0.159732901,201
-1000,3304543,201.149801,201.149618,-0.183,-0.908,C11 H21 O3,11,21,0,3,0,22,2,0.272727273,24,-2,0,0.908,64085543474,5.15646E-05,373.6465182,-0.052631579,1,-1.454545455,0.07498746,201,1.412156872,200,0.031623605,201,0.213566187,201,0.196126314,201
586.1,4133175,202.072258,202.072096,-0.162,-0.8,C8 H12 N O5,8,12,1,5,0,13,1.625,0.625,19,-2,1,0.8,64085543474,6.44947E-05,373.6465182,-0.111111111,3,0,0.153539508,202,1.496841217,201,0.04643952,202,0.136337455,202,0.118817602,202
4.73,125792576,202.087479,202.087352,-0.127,-0.627,C12 H12 N O2,12,12,1,2,0,13,1.083333333,0.166666667,27,5,1,0.627,64085543474,0.001962885,373.6465182,0.5,7,-0.5,0.138300543,202,1.481703669,201,0.03119247,202,0.151598305,202,0.13407713,202
141.38,10634319,203.07149,203.071368,-0.123,-0.603,C12 H11 O3,12,11,0,3,0,12,1,0.25,26,4,0,0.603,64085543474,0.000165939,373.6465182,0.523809524,7,-0.5,0.155383304,203,1.50532781,201,0.047753693,203,0.135927137,203,0.118320646,203
-1000,7937120,203.092609,203.092497,-0.112,-0.552,C9 H15 O5,9,15,0,5,0,16,1.777777778,0.555555556,20,-3,0,0.552,64085543474,0.000123852,373.6465182,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
-1000,6041708,203.107874,203.107753,-0.12,-0.593,C13 H15 O2,13,15,0,2,0,16,1.230769231,0.153846154,28,4,0,0.593,64085543474,9.42757E-05,373.6465182,0.416666667,6,-0.923076923,0.119038931,203,1.469225312,202,0.011390037,203,0.172323704,203,0.154714059,203
-1000,2524285,203.128959,203.128883,-0.076,-0.374,C10 H19 O4,10,19,0,4,0,20,2,0.4,22,-3,0,0.374,64085543474,3.93893E-05,373.6465182,-0.125,1,-1.2,0.097932525,203,1.44825937,202,0.009727568,203,0.193460422,203,0.175848945,203
-1000,2456425,204.066738,204.066617,-0.121,-0.594,C11 H10 N O3,11,10,1,3,0,11,1,0.272727273,25,4,1,0.594,64085543474,3.83304E-05,373.6465182,0.529411765,7,-0.181818182,0.161245608,204,1.517806167,202,0.053088507,204,0.13149254,204,0.11379976,204
