mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
407.76,14865376,221.154823,221.154703,-0.12,-0.542,C14 H21 O2,14,21,0,2,0,22,1.571428571,0.142857143,30,2,0,0.542,1.01151E+11,0.000146963,391.4317544,0.230769231,4,-1.285714286,0.092240317,221,1.562396249,219,0.02497362,221,0.225011074,221,0.20583674,221
-1000,2092381,226.192324,226.192486,0.162,0.716,C12 H24 N3 O,12,24,3,1,0,25,2.083333333,0.083333333,29,1,3,0.716,1.01151E+11,2.06858E-05,391.4317544,-0.176470588,2,-1.166666667,0.060082551,226,1.56372783,224,0.059801455,226,0.264395653,226,0.244784539,226
-1000,4036122,227.092517,227.092497,-0.02,-0.088,C11 H15 O5,11,15,0,5,0,16,1.454545455,0.454545455,24,-1,0,0.088,1.01151E+11,3.99021E-05,391.4317544,0.176470588,4,-0.545454545,0.161076511,227,1.670704735,225,0.040715491,227,0.164692779,227,0.145003633,227
6.3,23138074,230.082216,230.082267,0.051,0.222,C13 H12 N O3,13,12,1,3,0,13,1,0.230769231,29,5,1,0.222,1.01151E+11,0.000228749,391.4317544,0.523809524,8,-0.307692308,0.174644915,230,1.704148042,228,0.052699291,230,0.155413267,230,0.135464905,230
424.69,2692917,230.118627,230.118652,0.025,0.108,C14 H16 N O2,14,16,1,2,0,17,1.214285714,0.142857143,31,5,1,0.108,1.01151E+11,2.66228E-05,391.4317544,0.416666667,7,-0.714285714,0.138300543,230,1.668045544,228,0.016335634,230,0.191809835,230,0.171858318,230
-1000,2545652,231.041063,231.04113,0.068,0.293,C11 H7 N2 O4,11,7,2,4,0,8,0.727272727,0.363636364,26,5,2,0.293,1.01151E+11,2.51669E-05,391.4317544,0.714285714,9,0.545454545,0.21685259,231,1.752729889,229,0.09439876,231,0.114581103,231,0.094549606,231
409.06,9094421,232.097822,232.097917,0.095,0.408,C13 H14 N O3,13,14,1,3,0,15,1.153846154,0.230769231,29,4,1,0.408,1.01151E+11,8.99097E-05,391.4317544,0.428571429,7,-0.461538462,0.161245608,232,1.704148042,230,0.038231671,232,0.17170407,232,0.151580948,232
362.56,2385200,232.134196,232.134302,0.107,0.459,C14 H18 N O2,14,18,1,2,0,19,1.357142857,0.142857143,31,4,1,0.459,1.01151E+11,2.35807E-05,391.4317544,0.333333333,6,-0.857142857,0.124901235,232,1.668045544,230,0.001868015,232,0.208100637,232,0.187974361,232
-1000,2379797,233.118254,233.118318,0.064,0.276,C14 H17 O3,14,17,0,3,0,18,1.285714286,0.214285714,30,3,0,0.276,1.01151E+11,2.35273E-05,391.4317544,0.36,6,-0.857142857,0.141983996,233,1.691669685,231,0.018429239,233,0.192429469,233,0.172217878,233
513.01,2176030,233.129718,233.129551,-0.167,-0.715,C13 H17 N2 O2,13,17,2,2,0,18,1.384615385,0.153846154,30,4,2,0.715,1.01151E+11,2.15128E-05,391.4317544,0.3,6,-0.615384615,0.130763539,233,1.6805239,231,0.007202828,233,0.20366604,233,0.183453475,233
