mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,5085978,199.134095,199.133968,-0.127,-0.636,C11 H19 O3,11,19,0,3,0,20,1.818181818,0.272727273,24,-1,0,0.636,1.12646E+11,4.51501E-05,387.3204028,0.052631579,2,-1.272727273,0.088386768,199,1.412156872,198,0.017155986,199,0.197275384,199,0.18001027,199
12.86,32448312,199.170471,199.170354,-0.118,-0.591,C12 H23 O2,12,23,0,2,0,24,2,0.166666667,26,-1,0,0.591,1.12646E+11,0.000288056,387.3204028,0,1,-1.666666667,0.052041397,199,1.376053382,198,0.053520642,199,0.233672952,199,0.216404683,199
603.54,3201066,200.108171,200.108088,-0.083,-0.416,C13 H14 N O,13,14,1,1,0,15,1.153846154,0.076923077,29,6,1,0.416,1.12646E+11,2.8417E-05,387.3204028,0.47826087,7,-0.769230769,0.115354479,200,1.445600179,199,0.009295433,200,0.17170507,200,0.154355499,200
-1000,9286969,201.076959,201.076847,-0.112,-0.557,C9 H13 O5,9,13,0,5,0,14,1.555555556,0.555555556,20,-2,0,0.557,1.12646E+11,8.24438E-05,387.3204028,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
-1000,7905622,201.113356,201.113233,-0.123,-0.613,C10 H17 O4,10,17,0,4,0,18,1.8,0.4,22,-2,0,0.613,1.12646E+11,7.01811E-05,387.3204028,0,2,-1,0.111331833,201,1.44825937,200,0.004740051,201,0.177169619,201,0.159732901,201
-1000,3253108,201.149734,201.149618,-0.116,-0.576,C11 H21 O3,11,21,0,3,0,22,2,0.272727273,24,-2,0,0.576,1.12646E+11,2.8879E-05,387.3204028,-0.052631579,1,-1.454545455,0.07498746,201,1.412156872,200,0.031623605,201,0.213566187,201,0.196126314,201
4.66,154679408,202.087469,202.087352,-0.116,-0.576,C12 H12 N O2,12,12,1,2,0,13,1.083333333,0.166666667,27,5,1,0.576,1.12646E+11,0.001373146,387.3204028,0.5,7,-0.5,0.138300543,202,1.481703669,201,0.03119247,202,0.151598305,202,0.13407713,202
256.91,6468494,203.071451,203.071368,-0.083,-0.41,C12 H11 O3,12,11,0,3,0,12,1,0.25,26,4,0,0.41,1.12646E+11,5.74232E-05,387.3204028,0.523809524,7,-0.5,0.155383304,203,1.50532781,201,0.047753693,203,0.135927137,203,0.118320646,203
-1000,6051744,203.092618,203.092497,-0.121,-0.596,C9 H15 O5,9,15,0,5,0,16,1.777777778,0.555555556,20,-3,0,0.596,1.12646E+11,5.37235E-05,387.3204028,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
673.47,2314153,203.103927,203.103731,-0.197,-0.968,C8 H15 N2 O4,8,15,2,4,0,16,2,0.5,20,-2,2,0.968,1.12646E+11,2.05436E-05,387.3204028,-0.5,2,-0.25,0.12305644,203,1.473216084,202,0.015409678,203,0.168300425,203,0.150691129,203
-1000,9055148,203.107848,203.107753,-0.095,-0.467,C13 H15 O2,13,15,0,2,0,16,1.230769231,0.153846154,28,4,0,0.467,1.12646E+11,8.03859E-05,387.3204028,0.416666667,6,-0.923076923,0.119038931,203,1.469225312,202,0.011390037,203,0.172323704,203,0.154714059,203
-1000,4019133,203.128989,203.128883,-0.106,-0.524,C10 H19 O4,10,19,0,4,0,20,2,0.4,22,-3,0,0.524,1.12646E+11,3.56793E-05,387.3204028,-0.125,1,-1.2,0.097932525,203,1.44825937,202,0.009727568,203,0.193460422,203,0.175848945,203
398.03,2254524,204.06672,204.066617,-0.103,-0.504,C11 H10 N O3,11,10,1,3,0,11,1,0.272727273,25,4,1,0.504,1.12646E+11,2.00142E-05,387.3204028,0.529411765,7,-0.181818182,0.161245608,204,1.517806167,202,0.053088507,204,0.13149254,204,0.11379976,204
6.83,22376154,204.103129,204.103002,-0.126,-0.619,C12 H14 N O2,12,14,1,2,0,15,1.25,0.166666667,27,4,1,0.619,1.12646E+11,0.000198641,387.3204028,0.4,6,-0.666666667,0.124901235,204,1.481703669,203,0.01672485,204,0.167889107,204,0.150193173,204
-1000,2238435,205.050738,205.050632,-0.106,-0.517,C11 H9 O4,11,9,0,4,0,10,0.909090909,0.363636364,24,3,0,0.517,1.12646E+11,1.98714E-05,387.3204028,0.555555556,7,-0.181818182,0.178329368,205,1.5414313,203,0.06965073,205,0.115820372,205,0.098042277,205
-1000,8755713,205.08713,205.087018,-0.112,-0.545,C12 H13 O3,12,13,0,3,0,14,1.166666667,0.25,26,3,0,0.545,1.12646E+11,7.77277E-05,387.3204028,0.428571429,6,-0.666666667,0.141983996,205,1.50532781,203,0.033286074,205,0.152217939,205,0.13443669,205
-1000,10736159,205.123516,205.123403,-0.113,-0.549,C13 H17 O2,13,17,0,2,0,18,1.384615385,0.153846154,28,3,0,0.549,1.12646E+11,9.53088E-05,387.3204028,0.333333333,5,-1.076923077,0.105639624,205,1.469225312,204,0.003077583,205,0.188614507,205,0.170830103,205
7.4,153829952,205.159905,205.159789,-0.116,-0.566,C14 H21 O,14,21,0,1,0,22,1.571428571,0.071428571,30,3,0,0.566,1.12646E+11,0.001365605,387.3204028,0.259259259,4,-1.428571429,0.069294253,205,1.433121822,204,0.039442238,205,0.225012074,205,0.207224515,205
